"date" "P" "ETpot" "Q"
2011020303 0.2 0 0.0408
2011020304 0 0 0.0469
2011020305 0 0 0.0518
2011020306 0 0 0.0556
2011020307 0 0.0049 0.0581
2011020308 0 0.0319 0.059
2011020309 0 0.0637 0.0595
2011020310 0 0.0699 0.0596
2011020311 0 0.0784 0.0601
2011020312 0 0.098 0.0605
2011020313 0 0.0674 0.0606
2011020314 0 0.0564 0.061
2011020315 0 0.0282 0.0618
2011020316 0 0.0012 0.0627
2011020317 0 0 0.0634
2011020318 0 0 0.0641
2011020319 0 0 0.0648
2011020320 0 0 0.0653
2011020321 0 0 0.0658
2011020322 0 0 0.0661
2011020323 0 0 0.0667
2011020400 0 0 0.0674
2011020401 0 0 0.068
2011020402 0 0 0.0689
2011020403 0 0 0.0695
2011020404 0.1 0 0.0701
2011020405 0 0 0.0708
2011020406 0 0 0.0715
2011020407 0 0.0012 0.072
2011020408 0 0.0049 0.0721
2011020409 0 0.0148 0.0721
2011020410 0 0.0198 0.0721
2011020411 0 0.0235 0.0721
2011020412 0 0.0136 0.0721
2011020413 0 0.0123 0.0721
2011020414 0 0.0062 0.0721
2011020415 0 0.0037 0.0721
2011020416 0 0 0.0724
2011020417 0 0 0.0731
2011020418 0 0 0.0731
2011020419 0 0 0.0726
2011020420 0 0 0.0719
2011020421 0 0 0.0709
2011020422 0 0 0.0703
2011020423 0 0 0.0691
2011020500 0 0 0.0678
2011020501 0 0 0.0666
2011020502 0 0 0.065
2011020503 0 0 0.0637
2011020504 0 0 0.0636
2011020505 0 0 0.0629
2011020506 0 0 0.0623
2011020507 0 0.0012 0.0618
2011020508 0 0.0047 0.061
2011020509 0 0.0093 0.0597
2011020510 0 0.0105 0.0587
2011020511 0 0.0244 0.0578
2011020512 0 0.0186 0.0576
2011020513 0 0.0209 0.0568
2011020514 0 0.007 0.0563
2011020515 0 0.0035 0.0561
2011020516 0 0 0.0554
2011020517 0 0 0.0553
2011020518 0 0 0.0543
2011020519 0 0 0.0537
2011020520 0 0 0.0532
2011020521 0 0 0.0526
2011020522 0 0 0.0522
2011020523 0 0 0.0518
2011020600 0 0 0.0512
2011020601 0 0 0.051
2011020602 0 0 0.0504
2011020603 0 0 0.0498
2011020604 0 0 0.0495
2011020605 0 0 0.0496
2011020606 0 0 0.0491
2011020607 0 0.0029 0.0483
2011020608 0 0.0103 0.0479
2011020609 0 0.0235 0.0472
2011020610 0 0.0397 0.0465
2011020611 0 0.0353 0.0459
2011020612 0 0.0294 0.0457
2011020613 0 0.0265 0.0451
2011020614 0 0.0221 0.0446
2011020615 0 0.0088 0.0444
2011020616 0 0.0015 0.0442
2011020617 0 0 0.044
2011020618 0 0 0.0437
2011020619 0 0 0.0431
2011020620 0 0 0.0423
2011020621 0 0 0.042
2011020622 0 0 0.042
2011020623 0 0 0.042
2011020700 0 0 0.0414
2011020701 0 0 0.041
2011020702 0 0 0.0406
2011020703 0 0 0.0403
2011020704 0 0 0.04
2011020705 0 0 0.0398
2011020706 0 0 0.0396
2011020707 0 0.0042 0.0394
2011020708 0 0.0238 0.0391
2011020709 0 0.0771 0.0389
2011020710 0 0.1374 0.0388
2011020711 0 0.1822 0.0388
2011020712 0 0.1991 0.0385
2011020713 0 0.1584 0.0384
2011020714 0 0.0855 0.0384
2011020715 0 0.0294 0.0385
2011020716 0 0.0028 0.0388
2011020717 0 0 0.0388
2011020718 0 0 0.0385
2011020719 0 0 0.0383
2011020720 0 0 0.0378
2011020721 0 0 0.0371
2011020722 0 0 0.0368
